"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KB2P66BG","book","1983","Cooper, Peter L.","Signs and symptoms: Thomas Pynchon and the contemporary world","","978-0-520-04537-8","","","","","1983","2024-03-29 21:44:42","2024-03-29 21:44:42","","","238","","","","","Signs and symptoms","","","","","University of California Press","Berkeley","","","","","","Library of Congress ISBN","PS3566.Y55 Z58 1983","","","","","","Criticism and interpretation; Pynchon, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NU3H64X","book","2020","Coviello, Peter","Vineland reread","","978-0-231-18520-2 978-0-231-18521-9","","","","""Vineland is hardly anyone's favorite Thomas Pynchon novel. Marking Pynchon's return after vanishing for nearly two decades following his epic Gravity's Rainbow, it was initially regarded as slight, a middling curiosity. However, for Peter Coviello, the oft-overlooked Vineland opens up new ways of thinking about Pynchon's writing and about how we read and how we live in the rough currents of history. Beginning with his early besotted encounters with Vineland, Coviello reads Pynchon's offbeat novel of sixties insurgents stranded in the Reaganite summer of 1984 as a delirious stoner comedy that is simultaneously a work of heartsick fury and political grief: a portrait of the hard afterlives of failed revolution in a period of stifling reaction. Offering a roving meditation on the uses of criticism and the practice of friendship, the fashioning of publics and counterpublics, the sentence and the police, Coviello argues that Vineland is among the most abundant and far-sighted of late-century American excursions into novelistic possibility. Departing from visions of Pynchon as the arch-postmodernist, erudite and obscure, he discloses an author far more companionable and humane. In Pynchon's harmonizing of joyousness and outrage, comedy and sorrow, Coviello finds a model for thinking through our catastrophic present""--","2020","2024-03-29 21:44:42","2024-03-29 21:44:42","","","142","","","","","","Rereadings","","","","Columbia University Press","New York","","","","","","Library of Congress ISBN","PS3566.Y55 V56336 2020","","","","","","Criticism and interpretation; Pynchon, Thomas; Vineland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KE84HZ4F","book","1982","Cowart, David","Thomas Pynchon: the art of allusion","","978-0-8093-0944-3","","","","","1982","2024-03-29 21:44:43","2024-03-29 21:44:43","","","154","","","","","Thomas Pynchon","Crosscurrents / modern critiques / new series","","","","Southern Illinois Univ. Press [u.a.]","Carbondale","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","2. printing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5WEG6TYS","book","2012","Cowart, David","Thomas Pynchon and the Dark Passages of History","","978-0-8203-3709-8","","","","""Thomas Pynchon helped pioneer the postmodern aesthetic. His formidable body of work challenges readers to think and perceive in ways that anticipate - with humor, insight, and cogency - much that has emerged in the field of literary theory over the past few decades. For David Cowart, Pynchon's most profound teachings are about history - history as myth, as rhetorical construct, as false consciousness, as prologue, as mirror, and as seedbed of national and literary identities. In one encyclopedic novel after another, Pynchon has reconceptualized historical periods that he sees as culturally definitive. Examining Pynchon's entire body of work, Cowart offers an engaging, metahistorical reading of V.; an exhaustive analysis of the influence of German culture in Pynchon's early work, with particular emphasis on Gravity's Rainbow; and a critical spectroscopy of those dark stars, Mason & Dixon and Against the Day. He defends the California fictions The Crying of Lot 49, Vineland, and Inherent Vice as roman fleuve chronicling the decade in which the American tapestry began to unravel. Cowart ends his study by considering Pynchon's place in literary history. Cowart argues that Pynchon has always understood the facticity of historical narrative and the historicity of storytelling - not to mention the relations of both story and history to myth. Thomas Pynchon and the Dark Passages of History offers a deft analysis of the problems of history as engaged by our greatest living novelist and argues for the continuity of Pynchon's historical vision.""--Project Muse","2012","2024-03-29 21:44:45","2024-07-14 01:46:24","","","250","","","","","","","","","","University of Georgia Press","Athens","eng","","","","","Open WorldCat","","OCLC: 1059003979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQ7XBS4Z","book","2012","De Bourcier, Simon","Pynchon and relativity: narrative time in Thomas Pynchon's later novels","","","","","","","2012","2024-03-29 21:44:46","2024-08-25 02:52:18","","","231","","","","","Pynchon and relativity","","","","","Continuum","London New York","eng","","","","","BnF ISBN","813.54 (critique)","ISBN: 9781441130099 Series: Continuum literary studies series","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3PXNHY9","book","1990","Dugdale, John","Thomas Pynchon: allusive parables of power","","978-0-312-04630-9","","","","","1990","2024-03-29 21:44:47","2024-03-29 21:44:47","","","214","","","","","Thomas Pynchon","","","","","St. Martin's Press","New York","","","","","","Library of Congress ISBN","PS3566.Y55 Z63 1990","","","","","","Criticism and interpretation; Pynchon, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJX5FZGJ","book","1990","Eddins, Dwight","The gnostic Pynchon","","978-0-253-31907-4","","","","","1990","2024-03-29 21:44:47","2024-03-29 21:44:47","","","173","","","","","","","","","","Indiana University Press","Bloomington","","","","","","Library of Congress ISBN","PS3566.Y55 Z64 1990","","","","","","Criticism and interpretation; Pynchon, Thomas; Gnosticism in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"874VW9N6","book","2014","Eve, Martin Paul","Pynchon and Philosophy: Wittgenstein, Foucault and Adorno","","978-1-137-40549-4","","","","","2014","2024-03-29 21:44:47","2024-03-29 21:44:47","","","229","","","","","Pynchon and Philosophy","","","","","Palgrave Macmillan","Houndmills, Basingstoke, Hampshire ; New York, NY","","","","","","Library of Congress ISBN","PS3566.Y55 Z646 2014","","","","","","Pynchon, Thomas; Adorno, Theodor W; Foucault, Michel; Literature; Philosophy; Wittgenstein, Ludwig","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8C3DABB7","book","1980","Fowler, Douglas","A reader's guide to ""Gravity's rainbow""","","978-0-88233-405-9","","","","","1980","2024-03-29 21:44:48","2024-03-29 21:44:48","","","297","","","","","","","","","","Ardis","Ann Arbor, Mich","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7FV2DQ6M","book","2014","Freer, Joanna","Thomas Pynchon and the American counterculture","","978-1-107-07605-1 978-1-107-42971-0","","","","""This volume explores the complex fiction of Thomas Pynchon within the context of 1960s counterculture""","2014","2024-03-29 21:44:48","2024-07-14 01:49:19","","","208","","","","","","Cambridge studies in American literature and culture","169","","","Cambridge University Press","New York","eng","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRGKILE2","book","2008","Grant, J. Kerry","A companion to The crying of lot 49","","978-0-8203-1635-2 978-0-8203-1636-9","","","","","2008","2024-03-29 21:44:49","2024-03-29 21:44:49","","","188","","","","","","","","","","Univ. of Georgia Press","Athens, Ga.","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","2. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHB8N2B4","book","2008","Grant, J. Kerry","A companion to ""The crying of lot 49""","","978-0-8203-3207-9","","","","","2008","2024-03-29 21:44:50","2024-03-29 21:44:50","","","","","","","","","","","","","the University of Georgia press","Athens","eng","","","","","BnF ISBN","813.54 (critique)","","","","","","","","","","","","","","","","","","","","","","","","","","2nd ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5L6HULTA","book","2001","Grant, J. Kerry","A companion to V","","978-0-8203-2250-6 978-0-8203-2251-3","","","","","2001","2024-03-29 21:44:51","2024-03-29 21:44:51","","","224","","","","","","","","","","University of Georgia Press","Athens","","","","","","Library of Congress ISBN","PS3566.Y55 V234 2001","","","","","","History and criticism; Pynchon, Thomas; Psychological fiction, American; V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XK2KDLRC","book","2005","Hägg, Samuli","Narratologies of Gravity's rainbow","","978-952-458-611-5","","","","","2005","2024-03-29 21:44:53","2024-07-14 01:52:44","","","205","","","","","","","","","","Joensuun yliopisto","Joensuu","eng","","","","","Open WorldCat","","OCLC: 60839553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZMTMS9I","book","1995","Selmeci, Andreas; Henrichsen, Dag","Das Schwarzkommando: Thomas Pynchon und die Geschichte der Herero","","978-3-89528-122-8","","","","","1995","2024-03-29 21:44:54","2024-04-24 17:31:37","","","141","","","","","Das Schwarzkommando","Aisthesis-Essay","6","","","Aisthesis-Verl","Bielefeld","ger","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9NXGA79W","book","2013","Herman, Luc; Weisenburger, Steven","Gravity's Rainbow, domination, and freedom","","978-0-8203-3508-7 978-0-8203-4595-6","","","","","2013","2024-03-29 21:44:55","2024-03-29 21:44:55","","","258","","","","","","","","","","The University of Georgia Press","Athens","","","","","","Library of Congress ISBN","PS3566.Y55 G73455 2013","","","","","","Pynchon, Thomas; Gravity's rainbow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZEQTECH","book","1983","Hite, Molly","Ideas of order in the novels of Thomas Pynchon","","978-0-8142-0350-7","","","","","1983","2024-03-29 21:44:56","2024-04-24 17:31:59","","","183","","","","","","","","","","Ohio State University Press","Columbus","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HJGE924","book","1986","Hohmann, Charles","Thomas Pynchon's Gravity's rainbow: a study of its conceptual structure and of Rilke's influence","","978-0-8204-0439-4","","","","","1986","2024-03-29 21:44:57","2024-03-29 21:44:57","","","421","","","","","Thomas Pynchon's Gravity's rainbow","American university studies Series 4, English language and literature","48","","","Lang","New York","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESF6NDN2","book","1987","Hume, Kathryn","Pynchon's mythography: an approach to Gravity's rainbow","","978-0-8093-1357-0","","","","","1987","2024-03-29 21:44:57","2024-03-29 21:44:57","","","262","","","","","Pynchon's mythography","Crosscurrents/modern critiques","","","","Southern Illinois University Press","Carbondale","","","","","","Library of Congress ISBN","PS3566.Y55 G7348 1987","","","","","","Pynchon, Thomas; Gravity's rainbow; Myth in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UALG98G8","book","2008","Hurley, Patrick J.","Pynchon character names","","978-0-7864-3458-9","","","","","2008","2024-03-29 21:44:57","2024-07-14 01:54:55","","","195","","","","","","","","","","McFarland","Jefferson, N.C","eng","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKQV77BS","thesis","2007","Käkelä-Puumala, Tiina","Other side of this life death, value, and social being in Thomas Pynchon's fiction","","","","","","","2007","2024-03-29 21:45:00","2024-07-14 01:56:17","","","209","","","","","","","","","","Tiina Käkelä-Puumala","Jokela","eng","","","","","Open WorldCat","","OCLC: 231172130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTJAPFDP","book","1990","Kharpertian, Theodore D.","A hand to turn the time: the Menippean satires of Thomas Pynchon","","978-0-8386-3361-8","","","","","1990","2024-03-29 21:45:01","2024-03-29 21:45:01","","","176","","","","","A hand to turn the time","","","","","Fairleigh Dickinson Univ. Press [u.a.]","Rutherford","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GIUJS54","book","2001","Kihara, Yoshihiko 木原善彦","Thomas Pynchon: Museifu shugi teki kiseki no Uchu トマス・ピンチョン: 無政府主義的奇跡の宇宙","","978-4-87698-415-2","","","","","2001","2024-03-29 21:45:03","2024-07-14 01:57:10","","","246","","","","","トマス・ピンチョン","","","","","京都大学学術出版会","Kyōto","jpn","","","","","Open WorldCat","","OCLC: 54593689","","","","Japanese","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSXQ6P3W","book","2012","Klose, Yvonne","""How had it ever happened here?"": a constructivist reading of Thomas Pynchon's The Crying of Lot 49 and its role in the Pynchon canon","","","","","","","2012","2024-03-29 21:45:04","2024-07-14 01:57:59","","","225","","","","","""How had it ever happened here?","","","","","P. Lang","Frankfurt am Main New York","eng","","","","","BnF ISBN","","ISBN: 9783631622964 Series Number: 7 Series: American culture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62MHE3B2","book","2000","Kolbuszewska, Zofia","The poetics of chronotope in the novels of Thomas Pynchon","","978-83-7306-000-5","","","","","2000","2024-03-29 21:45:06","2024-03-29 21:45:06","","","243","","","","","","Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego","202","","","Tow. Naukowe Katolickiego Uniw. Lubelskiego","Lublin","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Q9EEWWK","book","1979","Hendin, Josephine G.","Vulnerable people: a view of American fiction since 1945","","978-0-19-502319-0 978-0-19-502620-7","","","","","1979","2024-03-29 21:45:07","2024-03-29 21:45:07","","","237","","","","","Vulnerable people","Galaxy books","583","","","Oxford Univ. Press","Oxford","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DIQ5WL3","book","1989","Mackey, Douglas A.","The rainbow quest of Thomas Pynchon","","978-0-89370-142-0 978-0-89370-242-7","","","","","1989","2024-03-29 21:45:08","2024-03-29 21:45:08","","","68","","","","","","The Milford series Popular writers of today","28","","","Borgo Press","San Bernardino, Calif","","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","1. ed., 3. print","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQN9LTBS","book","1991","Madsen, Deborah L.","The Postmodernist allegories of Thomas Pynchon","","978-0-7185-1369-6","","","","","1991","2024-03-29 21:45:09","2024-03-29 21:45:09","","","146","","","","","","","","","","Leicester Univ. Press","Leicester","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIV4RTTN","book","2015","Malpas, Simon; Taylor, Andrew","Thomas Pynchon","","978-0-7190-9934-2","","","","","2015","2024-03-29 21:45:10","2024-03-29 21:45:10","","","244","","","","","","Contemporary American and Canadian Writers","","","","Manchester University Press","Manchester","","","","","","Library of Congress ISBN","PS3566.Y55 Z6956 2015","","","","","","Criticism and interpretation; Pynchon, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TILSCJQ","book","2002","Mattessich, Stefan","Lines of flight: discursive time and countercultural desire in the work of Thomas Pynchon","","978-0-8223-2979-4 978-0-8223-2994-7","","","","","2002","2024-03-29 21:45:10","2024-03-29 21:45:10","","","291","","","","","Lines of flight","Post-contemporary interventions","","","","Duke University Press","Durham [N.C.]","","","","","","Library of Congress ISBN","PS3566.Y55 Z698 2002","","","","","","Criticism and interpretation; Pynchon, Thomas; Counterculture; Desire in literature; Escape in literature; Time in literature; United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NX42RVHW","book","1990","Dugdale, John","Thomas Pynchon: allusive parables of power","","978-0-333-49110-2 978-0-333-51509-9","","","","","1990","2024-03-29 21:45:12","2024-03-29 21:45:12","","","214","","","","","Thomas Pynchon","","","","","Macmillan","Houndmills, Basingstoke, Hampshire","","","","","","Library of Congress ISBN","PS3566.Y55 Z63 1990b","","","","","","Criticism and interpretation; Pynchon, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUCEA84K","book","1989","Mead, Clifford","Thomas Pynchon: a bibliography of primary and secondary materials","","978-0-916583-37-8","","","","","1989","2024-03-29 21:45:13","2024-03-29 21:45:13","","","175","","","","","Thomas Pynchon","","","","","Dalkey Archive Press","Elmwood Park, IL, USA","","","","","","Library of Congress ISBN","Z8721.5 PS3566.Y55 .M43 1989","","","","","","Pynchon, Thomas; Bibliography","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVASNI7A","book","2018","Mogultay, Utku","The ruins of urban modernity: Thomas Pynchon's ""Against the day""","","978-1-5013-3950-9","","","","","2018","2024-03-29 21:45:13","2024-07-14 02:03:38","","","227","","","","","The ruins of urban modernity","","","","","Bloomsbury","New York","eng","","","","","BnF ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYPVC53T","book","1987","Moore, Thomas","The style of connectedness: gravity's rainbow and Thomas Pynchon","","978-0-8262-0625-1","","","","","1987","2024-03-29 21:45:14","2024-03-29 21:45:14","","","312","","","","","The style of connectedness","","","","","Univ. of Missouri Press","Columbia, Mo","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MLFVQYZ","book","1986","Newman, Robert D.","Understanding Thomas Pynchon","","978-0-87249-485-5 978-0-87249-486-2","","","","","1986","2024-03-29 21:45:16","2024-03-29 21:45:16","","","155","","","","","","Understanding contemporary American literature","","","","Univ. of South Carolina Press","Columbia, S.C","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VELKNTTC","book","1978","Plater, William M.","The grim phoenix: reconstructing Thomas Pynchon","","978-0-253-32670-6","","","","","1978","2024-03-29 21:45:17","2024-04-24 18:11:07","","","268","","","","","The grim phoenix","","","","","Indiana Univ. Pr","Bloomington, Ind.","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SHM77WJ","book","2010","Pöhlmann, Sascha","Pynchon's postnational imagination","","978-3-8253-5771-9","","","","","2010","2024-03-29 21:45:18","2024-04-24 18:11:13","","","381","","","","","","American studies","188","","","Winter","Heidelberg","eng","","","","","K10plus ISBN","","","","/Users/erik/Zotero/storage/JVKVUD5S/Pöhlmann and Pynchon - 2010 - Pynchon's postnational imagination.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2QIVPMZ2","book","1989","Price, Victoria H.","Christian allusions in the novels of Thomas Pynchon","","978-0-8204-0859-0","","","","","1989","2024-03-29 21:45:19","2024-03-29 21:45:19","","","264","","","","","","American university studies","v. 89","","","P. Lang","New York","","","","","","Library of Congress ISBN","PS3566.Y55 Z795 1989","","","","","","Pynchon, Thomas; In literature; Bible; Christianity in literature; Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8UKTAVEI","book","2019","Rolls, Albert","Thomas Pynchon: the demon in the text","","978-1-912224-54-8 978-1-912224-55-5","","","","","2019","2024-03-29 21:45:20","2024-03-29 21:45:20","","","156","","","","","Thomas Pynchon","Writers & their contexts","no. 3","","","EER, Edward Everett Root Publishers","Brighton","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JX3SJWET","book","1981","Schaub, Thomas H.","Pynchon, the voice of ambiguity","","978-0-252-00816-0","","","","","1981","2024-03-29 21:45:20","2024-03-29 21:45:20","","","165","","","","","","","","","","University of Illinois Press","Urbana","","","","","","Library of Congress ISBN","PS3566.Y55 Z87","","","","","","Criticism and interpretation; Pynchon, Thomas; Ambiguity in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FRDT765","book","1985","Schaub, Thomas H.","Pynchon: la voz de lo ambiguo","","978-950-18-0069-2","","","","","1985","2024-03-29 21:45:23","2024-07-14 02:04:03","","","189","","","","","Pynchon","","","","","Ediciones Tres Tiempos S.R.L.","Buenos Aires, Argentina","spa","","","","","Open WorldCat","","OCLC: 23591805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEKK7VPD","book","2006","Schieweg, Larissa S.","Die Bürde der Geschichte: der Untergang des Baedekerlandes im Werk von Thomas Pynchon","","978-3-8258-8175-7","","","","","2006","2024-03-29 21:45:24","2024-03-29 21:45:24","","","345","","","","","Die Bürde der Geschichte","Nordamerika-Studien","Bd. 11","","","Lit","Berlin Münster","ger","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
